Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.125,1,2,15,2.6226043701171875e-05,1,"(0,)"
graph_size_2_k_0.125,2,9,52,2.1696090698242188e-05,1,"(1,)"
graph_size_3_k_0.125,3,33,86,2.4318695068359375e-05,2,"(1, 2)"
graph_size_4_k_0.125,4,104,159,4.029273986816406e-05,3,"(1, 2, 3)"
graph_size_5_k_0.125,5,300,179,7.772445678710938e-05,4,"(1, 2, 3, 4)"
graph_size_6_k_0.125,6,771,159,0.00013017654418945312,3,"(1, 2, 3)"
graph_size_7_k_0.125,7,1988,221,0.00025773048400878906,4,"(1, 2, 3, 6)"
graph_size_8_k_0.125,8,5064,248,0.0005068778991699219,5,"(0, 3, 4, 6, 7)"
graph_size_9_k_0.125,9,12420,282,0.0010941028594970703,6,"(0, 3, 4, 6, 7, 8)"
graph_size_10_k_0.125,10,29672,296,0.0020198822021484375,6,"(0, 2, 3, 6, 7, 8)"
graph_size_11_k_0.125,11,70226,337,0.0036563873291015625,5,"(1, 3, 7, 8, 10)"
graph_size_12_k_0.125,12,164576,300,0.007551431655883789,5,"(0, 2, 3, 7, 10)"
graph_size_13_k_0.125,13,382304,326,0.0147552490234375,6,"(0, 3, 8, 10, 11, 12)"
graph_size_14_k_0.125,14,879019,474,0.027890920639038086,7,"(1, 3, 5, 7, 9, 10, 13)"
graph_size_15_k_0.125,15,2002723,451,0.059694528579711914,7,"(6, 7, 8, 9, 10, 13, 14)"
graph_size_16_k_0.125,16,4533672,537,0.12375044822692871,9,"(6, 7, 8, 10, 11, 12, 13, 14, 15)"
graph_size_17_k_0.125,17,10181320,612,0.24326682090759277,11,"(1, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16)"
graph_size_18_k_0.125,18,22721940,571,0.5019426345825195,11,"(1, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16)"
graph_size_19_k_0.125,19,50397920,583,1.0169875621795654,10,"(1, 5, 6, 7, 8, 10, 11, 12, 13, 15)"
graph_size_20_k_0.125,20,111251456,546,1.8731958866119385,11,"(1, 5, 6, 7, 9, 10, 13, 14, 17, 18, 19)"
graph_size_21_k_0.125,21,244504020,594,4.211302757263184,13,"(4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 20)"
graph_size_22_k_0.125,22,535105072,609,8.428805112838745,12,"(3, 4, 6, 7, 10, 11, 13, 15, 17, 19, 20, 21)"
graph_size_23_k_0.125,23,1166430252,611,16.54920196533203,12,"(1, 4, 6, 7, 8, 9, 11, 13, 15, 17, 19, 22)"
graph_size_24_k_0.125,24,2533886412,691,34.094549894332886,13,"(3, 5, 8, 9, 10, 11, 13, 16, 18, 19, 20, 22, 23)"
